source,label_col,subgroup_col,subgroup_val,auditor,accuracy,demographic_parity,equalized_odds,equal_opportunity
deepface,race,age,1,naive,0.3062330623306233,0.0,0.0,0.0
deepface,race,age,2,naive,0.4661016949152542,0.0,0.0,0.0
deepface,race,age,3,naive,0.22118380062305296,0.0,0.0,0.0
deepface,race,age,4,naive,0.24324324324324326,0.0,0.0,0.0
deepface,race,age,5,naive,0.31399317406143346,0.0,0.0,0.0
deepface,race,age,6,naive,0.4621212121212121,0.0,0.0,0.0
deepface,race,age,7,naive,0.6524822695035462,0.0,0.0,0.0
deepface,race,age,8,naive,0.6766917293233082,0.0,0.0,0.0
deepface,race,overall,-1,svm,0.5133333333333333,,,
deepface,race,gender,0,svm,0.5174418604651163,0.031068766798153683,0.04298624250438221,0.05928357259541157
deepface,race,gender,1,svm,0.5089531680440771,0.031068766798153683,0.04298624250438221,0.05928357259541157
deepface,race,age,0,svm,0.541958041958042,0.18055431400081304,0.2412005457259952,0.3659541683341795
deepface,race,age,1,svm,0.5121951219512195,0.18055431400081304,0.2412005457259952,0.3659541683341795
deepface,race,age,2,svm,0.5451977401129944,0.18055431400081304,0.2412005457259952,0.3659541683341795
deepface,race,age,3,svm,0.43146417445482865,0.18055431400081304,0.2412005457259952,0.3659541683341795
deepface,race,age,4,svm,0.48841698841698844,0.18055431400081304,0.2412005457259952,0.3659541683341795
deepface,race,age,5,svm,0.47440273037542663,0.18055431400081304,0.2412005457259952,0.3659541683341795
deepface,race,age,6,svm,0.5606060606060606,0.18055431400081304,0.2412005457259952,0.3659541683341795
deepface,race,age,7,svm,0.6595744680851063,0.18055431400081304,0.2412005457259952,0.3659541683341795
deepface,race,age,8,svm,0.6992481203007519,0.18055431400081304,0.2412005457259952,0.3659541683341795
deepface,race,overall,-1,deep,0.5293333333333333,,,
deepface,race,gender,0,deep,0.5277777777777778,0.02399104301852716,0.04452873520331084,0.07030402776383493
deepface,race,gender,1,deep,0.53099173553719,0.02399104301852716,0.04452873520331084,0.07030402776383493
deepface,race,age,0,deep,0.479020979020979,0.17517628006252997,0.3084337892828263,0.5248490852015224
deepface,race,age,1,deep,0.5392953929539296,0.17517628006252997,0.3084337892828263,0.5248490852015224
deepface,race,age,2,deep,0.5677966101694916,0.17517628006252997,0.3084337892828263,0.5248490852015224
deepface,race,age,3,deep,0.46105919003115264,0.17517628006252997,0.3084337892828263,0.5248490852015224
deepface,race,age,4,deep,0.5096525096525096,0.17517628006252997,0.3084337892828263,0.5248490852015224
deepface,race,age,5,deep,0.49829351535836175,0.17517628006252997,0.3084337892828263,0.5248490852015224
deepface,race,age,6,deep,0.5871212121212122,0.17517628006252997,0.3084337892828263,0.5248490852015224
deepface,race,age,7,deep,0.6737588652482269,0.17517628006252997,0.3084337892828263,0.5248490852015224
deepface,race,age,8,deep,0.7142857142857143,0.17517628006252997,0.3084337892828263,0.5248490852015224
deepface,age,overall,-1,naive,0.214,,,
deepface,age,gender,0,naive,0.2622739018087855,0.0,0.0,0.0
deepface,age,gender,1,naive,0.162534435261708,0.0,0.0,0.0
deepface,age,race,0,naive,0.1415752741774676,0.0,0.0,0.0
deepface,age,race,1,naive,0.20146520146520147,0.0,0.0,0.0
deepface,age,race,2,naive,0.1812366737739872,0.0,0.0,0.0
deepface,age,race,3,naive,0.30196078431372547,0.0,0.0,0.0
deepface,age,race,4,naive,0.25766871165644173,0.0,0.0,0.0
deepface,age,race,5,naive,0.2796610169491525,0.0,0.0,0.0
deepface,age,race,6,naive,0.30601092896174864,0.0,0.0,0.0
deepface,age,overall,-1,svm,0.49566666666666664,,,
